intent,user_input,response
despedida,tchau?,Até mais! Bons episódios pra você. Curte esse tipo?
poderes,mano o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. Curte esse tipo?
despedida,tchau,Claro! Até mais! Bons episódios pra você.
despedida,me responde aí: falou,Falou! Depois voltamos ao mundo dos animes. 😊
despedida,Até logo,Até logo! Espero que encontre um anime incrível. Posso recomendar mais.
curiosidade,mano qual anime mais longo?,Claro! Sazae-san é considerado o anime mais longo da história.
personagem,QUEM É O GOJO?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
recomendacao,anime engraçado?,Spy x Family é uma ótima escolha. Posso recomendar mais.
personagem,QUEM É O NARUTO?,Naruto Uzumaki é o protagonista do anime Naruto.
poderes,qual o poder do Goku??,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
despedida,até logo,Claro! Até logo! Espero que encontre um anime incrível.
saudacao,oi,Claro! Oi! Como posso ajudar sobre animes hoje?
poderes,o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. Posso recomendar mais.
episodios,One Piece acabou?,"Não, One Piece ainda está em exibição."
personagem,me responde aí: quem é o Levi?,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
curiosidade,QUAL ANIME MAIS LONGO?,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
saudacao,me responde aí: bom dia,Bom dia! Quer conversar sobre qual anime? 😊
poderes,O que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. Curte esse tipo?
episodios,mano One Piece acabou?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
personagem,QUEM É O LEVI?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Posso recomendar mais.
episodios,One Piece acabou?,"Não, One Piece ainda está em exibição. Curte esse tipo?"
comparacao,Quem vence goku ou naruto?,Depende das regras da comparação e do universo. Curte esse tipo?
poderes,mano qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
despedida,mano até logo,Até logo! Espero que encontre um anime incrível. Posso recomendar mais.
episodios,ONE PIECE ACABOU?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
personagem,Quem é o levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. 😊
poderes,O que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha.
poderes,o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
comparacao,QUEM VENCE GOKU OU NARUTO?,Depende das regras da comparação e do universo.
personagem,mano quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Posso recomendar mais.
personagem,me responde aí: quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
episodios,Quantos episódios tem naruto?,Naruto clássico possui 220 episódios. 😊
recomendacao,Quero um anime triste,Your Lie in April costuma emocionar bastante. Curte esse tipo?
episodios,mano quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. 😊
saudacao,bom dia,Bom dia! Quer conversar sobre qual anime?
poderes,o que é sharingan?,Claro! Sharingan é uma habilidade ocular do clã Uchiha.
saudacao,Bom dia,Bom dia! Quer conversar sobre qual anime? 😊
episodios,Quantos episódios tem naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
poderes,o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. 😊
recomendacao,me responde aí: anime engraçado,Claro! Spy x Family é uma ótima escolha.
recomendacao,me responde aí: quero um anime triste,Your Lie in April costuma emocionar bastante. Curte esse tipo?
despedida,até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
despedida,Até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
despedida,TCHAU,Até mais! Bons episódios pra você. Posso recomendar mais.
despedida,mano tchau,Até mais! Bons episódios pra você. 😊
personagem,quem é o Naruto??,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
despedida,tchau?,Claro! Até mais! Bons episódios pra você.
recomendacao,me recomenda um anime de ação?,Você pode gostar de Attack on Titan.
despedida,TCHAU,Claro! Até mais! Bons episódios pra você.
despedida,me responde aí: até logo,Claro! Até logo! Espero que encontre um anime incrível.
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto.
